Class Index,Title,Description,processed_text
2,Butt facing ban,Newcastle midfielder Nicky Butt is facing up to the possibility of a three-match European ban for his moment of UEFA Cup madness. The 29-year-old England international lost his cool with Hapoel Bnei Sakhnin ,Newcastle midfielder Nicky Butt be face up to the possibility of a three - match european ban for his moment of UEFA Cup madness . the 29 - year - old England international lose his cool with Hapoel Bnei Sakhnin
1,One held in Jakarta embassy blast probe,"Indonesian police said on Friday they had made their first arrest directly linked to last week #39;s deadly embassy bombing in Jakarta, detaining a man who delivered explosives to those blamed for the attack.","indonesian police say on Friday they have make their first arrest directly link to last week # 39;s deadly embassy bombing in Jakarta , detain a man who deliver explosive to those blame for the attack ."
2, #39;Emperor #39; Adriano has Inter under his rule,"One match into the Italian league season and (Emperor) Adriano already has Inter Milan under his rule. The Brazilian striker has scored six goals in Inter #39;s first four matches this season, including ","one match into the italian league season and ( Emperor ) Adriano already have Inter Milan under his rule . the brazilian striker have score six goal in Inter # 39;s first four match this season , include"
2,Europe Take Charge at Oakland Hills," BLOOMFIELD HILLS, Michigan (Reuters) - Colin Montgomerie  inspired an early charge by holders Europe as they led the  United States in three of the four opening fourball matches at  the 35th Ryder Cup on Friday.","  BLOOMFIELD HILLS , Michigan ( Reuters ) - Colin Montgomerie   inspire an early charge by holder Europe as they lead the   United States in three of the four opening fourball match at   the 35th Ryder Cup on Friday ."
1,"\$78,000 for a Cane That Helped a Legend Walk the Line","Many of Johnny Cash's possessions were sold at Sotheby's, collecting \$3,984,260 for the Cash family, more than double the pre-auction estimate.","many of Johnny Cash 's possession be sell at Sotheby 's , collect \$3,984,260 for the Cash family , more than double the pre - auction estimate ."
2,Butt waits on Uefa ruling,Newcastle midfielder Nicky Butt is facing up to the possibility of a European three-match ban. The 29-year-old was sent off during Newcastle #39;s 2-0 Uefa Cup win against Hapoel Bnei Sakhnin for grabbing Abas Suan by the throat.,Newcastle midfielder Nicky Butt be face up to the possibility of a european three - match ban . the 29 - year - old be send off during Newcastle # 39;s 2 - 0 Uefa Cup win against Hapoel Bnei Sakhnin for grab Abas Suan by the throat .
2,USC Fires Basketball Coach Henry Bibby (AP),"AP - Henry Bibby was fired as Southern California's basketball coach Monday, just four games into his ninth season. The Trojans, beset by some player dissension, are 2-2.","AP - Henry Bibby be fire as Southern California 's basketball coach Monday , just four game into his ninth season . the Trojans , beset by some player dissension , be 2 - 2 ."
3,Qualcomm Raises Earnings Forecast,Qualcomm Inc. on Friday raised its quarterly profit forecast due to strong demand for its mobile phone technology. The San Diego company said it expects earnings per ,Qualcomm Inc. on Friday raise its quarterly profit forecast due to strong demand for its mobile phone technology . the San Diego company say it expect earning per
2,Veteran defender signs with Newcastle; Dyer out with injury,"Newcastle, England (Sports Network) - Central defender Ronny Johnsen signed a deal with Newcastle United until the next transfer window in January.","Newcastle , England ( Sports Network ) - central defender Ronny Johnsen sign a deal with Newcastle United until the next transfer window in January ."
1,Movie casts Afghans as 'Stray Dogs' struggling after hell of war (AFP),"AFP - The powerful may wage war, but it is the powerless who suffer its consequences -- that is the message drummed home by  quot;Stray Dogs, quot; an Iranian film on Afghanistan's pain after years under the control of warlords and foreign masters.","AFP - the powerful may wage war , but it be the powerless who suffer its consequence -- that be the message drum home by   quot;stray Dogs , quot ; an iranian film on Afghanistan 's pain after year under the control of warlord and foreign master ."
2,Nalbandian Is Stunned at the Chica Open," BEIJING (Reuters) - Resurgent Finn Jarkko Nieminen  overpowered David Nalbandian 6-2, 2-6, 6-2 at the China Open on  Friday as the seeds continued to tumble in Beijing.","  BEIJING ( Reuters ) - Resurgent Finn Jarkko Nieminen   overpower David Nalbandian 6 - 2 , 2 - 6 , 6 - 2 at the China Open on   Friday as the seed continue to tumble in Beijing ."
4,IBM embraces grid converts,"On the eve of a grid-computing conference, Big Blue says five companies and the EPA have plans to build grids.","on the eve of a grid - compute conference , Big Blue say five company and the EPA have plan to build grid ."
4,Symantec to offer Web-based Norton AntiVirus console,The Web console -- to be made available specifically to corporate and enterprise licensees of Norton AntiVirus software -- will allow administrators to distribute virus definitions and product updates on demand.,the web console -- to be make available specifically to corporate and enterprise licensee of Norton AntiVirus software -- will allow administrator to distribute virus definition and product update on demand .
4,IBM fits PCs with new hardware-based security chip,"IBM is using a microcontroller from National Semiconductor that stores passwords, digital certificates and encryption keys.","IBM be use a microcontroller from National Semiconductor that store password , digital certificate and encryption key ."
4,Sandia Motor Speedway for Sale on eBay (AP),AP - And the race is off! Only 29 days and some odd hours left to place your bid on eBay to buy the Sandia Motor Speedway.,AP - and the race be off ! only 29 day and some odd hour leave to place your bid on eBay to buy the Sandia Motor Speedway .
2,Pa. Golfer Cleared of Not Yelling 'Fore' (AP),"AP - A golfer plunked in the face by an errant ball was unable to convince a jury that the man who hit him was negligent for failing to yell ""Fore!""","AP - a golfer plunk in the face by an errant ball be unable to convince a jury that the man who hit he be negligent for fail to yell "" Fore ! """
3,"US Stocks Up, Ford Forecast Gives a Lift"," NEW YORK (Reuters) - U.S. blue chips advanced on Friday  after Ford Motor Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=F.N target=/stocks/quickinfo/fullquote""&gt;F.N&lt;/A&gt; raised its earnings forecasts, while  wireless technology provider Qualcomm Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=QCOM.O target=/stocks/quickinfo/fullquote""&gt;QCOM.O&lt;/A&gt; limited  gains on the Nasdaq after saying an accounting review may  reduce pretax income.","  NEW YORK ( Reuters ) - U.S. blue chip advance on Friday   after Ford Motor Co. & lt;A HREF=""http://www.investor.reuters.com / fullquote.aspx?ticker = F.N target=/stock / quickinfo / fullquote""&gt;f.n&lt;/a&gt ; raise its earning forecast , while   wireless technology provider Qualcomm Inc. & lt;A HREF=""http://www.investor.reuters.com / fullquote.aspx?ticker = QCOM.O target=/stock / quickinfo / fullquote""&gt;qcom.o&lt;/a&gt ; limit   gain on the Nasdaq after say an accounting review may   reduce pretax income ."
3,Hurricanes soak Knight Ridder #39;s 3Q,"Knight Ridder Inc., publisher of the Miami Herald and the Philadelphia Inquirer, said third-quarter earnings will miss Wall Street estimates due to the impact of three recent hurricanes on its Florida newspapers.","Knight Ridder Inc. , publisher of the Miami Herald and the Philadelphia Inquirer , say third - quarter earning will miss Wall Street estimate due to the impact of three recent hurricane on its Florida newspaper ."
2,Trabelsi back on board with Ajax,Arsenal target Hatem Trabelsi has settled his differences with Ajax after several months of wrangling. The Tunisian international defender was furious after it emerged a clause in his contract prevented him from completing a move to the Gunners.,arsenal target Hatem Trabelsi have settle his difference with Ajax after several month of wrangling . the tunisian international defender be furious after it emerge a clause in his contract prevent he from complete a move to the Gunners .
3,Boxer Begs Bush to Back Bum Bill,Members of California's congressional team make one last effort to look good for the tech industry back home.,member of California 's congressional team make one last effort to look good for the tech industry back home .
3,Update 1: United Needs to Cut \$500M More in Costs,"United Airlines, in a bankruptcy court filing in advance of a status hearing Friday, has revealed it needs to cut \$500 million more in costs than previously stated.","United Airlines , in a bankruptcy court filing in advance of a status hearing Friday , have reveal it need to cut \$500 million more in cost than previously state ."
2,Stellar Putting Gives Europe a 2 - 0 Ryder Cup Lead,"Inspired by a brilliant putting display, holders Europe secured the first two points in the opening fourball matches against the United States at the 35th Ryder Cup Friday.","inspire by a brilliant putting display , holder Europe secure the first two point in the opening fourball match against the United States at the 35th Ryder Cup Friday ."
4,OSDL teams with another open source group,The Beaverton-based Open Source Development Labs announced this week it is combining some efforts with another open source group to further the adoption of Linux.,the Beaverton - base Open Source Development Labs announce this week it be combine some effort with another open source group to further the adoption of Linux .
1,US Airstrikes Said to Kill at Least 44 in Iraq,"Iraqi health officials said American airstrikes that demolished homes late today in a village south of the volatile city of Falluja killed at least 44 people and wounded 27, including women and children.","iraqi health official say american airstrike that demolish home late today in a village south of the volatile city of Falluja kill at least 44 people and wound 27 , include woman and child ."
1,U.S. Jet Fires at House in Fallujah (AP),"AP - An American jet fired a missile at a house where about 10 members of an al-Qaida-linked group were believed to be meeting in the Sunni insurgent stronghold of Fallujah on Friday, police and the U.S. military said. At least three people were killed.","AP - an american jet fire a missile at a house where about 10 member of an al - Qaida - link group be believe to be meet in the sunni insurgent stronghold of Fallujah on Friday , police and the U.S. military say . at least three people be kill ."
4,AOL Rejects SenderID (NewsFactor),NewsFactor - Questions regarding potential patent issues and skepticism from the \open source community relating to Microsoft's (Nasdaq: MSFT) SenderID have prompted global Internet service provider AOL (NYSE: AOL) to drop the anti-spam technology.,NewsFactor - Questions regard potential patent issue and skepticism from the \open source community relate to Microsoft 's ( Nasdaq : MSFT ) senderid have prompt global internet service provider AOL ( NYSE : AOL ) to drop the anti - spam technology .
4,ATI Announces HyperMemory,"ATI Technologies announced a technology that reduces the need for dedicated graphics memory, which could lead to lower PC system costs.","ATI Technologies announce a technology that reduce the need for dedicated graphic memory , which could lead to low pc system cost ."
2,Paralympics Open in Athens,"Nearly 4,000 disabled athletes are in Athens, Greece, for Friday night #39;s opening ceremony of the largest Paralympics in the games #39; 44-year history.","nearly 4,000 disabled athlete be in Athens , Greece , for Friday night # 39;s opening ceremony of the large paralympic in the game # 39 ; 44 - year history ."
2,UPDATE 1-Nalbandian suffers Beijing shock,Finn Jarkko Nieminen overpowered David Nalbandian 6-2 2-6 6-2 at the China Open on Friday as the seeds continued to tumble in Beijing.,Finn Jarkko Nieminen overpower David Nalbandian 6 - 2 2 - 6 6 - 2 at the China open on Friday as the seed continue to tumble in Beijing .
1,Mother of Jackson Accuser Testifies,"SANTA MARIA, Calif. - The mother of the boy accusing Michael Jackson of molestation testified Friday she does not remember a private investigator telling her that he was working for one of the pop star's attorneys, but believed he worked directly for the singer...","SANTA MARIA , Calif. - the mother of the boy accuse Michael Jackson of molestation testify Friday she do not remember a private investigator tell she that he be work for one of the pop star 's attorney , but believe he work directly for the singer ..."
3,Hotel Locks Out Employees Over Impending Strike,"LOS ANGELES -- The labor dispute between workers at nine Los Angeles County hotels and their employers has intensified, with one of the hotels locking out its laundry workers and replacing them.","LOS ANGELES -- the labor dispute between worker at nine Los Angeles County hotel and their employer have intensify , with one of the hotel lock out its laundry worker and replace they ."
4,Xybernaut sews up bright-light mobile PC,"The flat-panel Atigo T/HB, designed for use in bright outdoor lighting, works as a wearable computer or as a wireless display.","the flat - panel Atigo T / HB , design for use in bright outdoor lighting , work as a wearable computer or as a wireless display ."
3,Pen can pick some bike U-locks,That U-shaped bike lock that you thought was so secure may be easy pickings for thieves who have nothing more sophisticated than a Bic pen.,that u - shape bike lock that you think be so secure may be easy picking for thief who have nothing more sophisticated than a bic pen .
1,INDONESIA:  #39;Blow to democracy #39;,International and domestic observers lambasted on Thursday the guilty verdict against Tempo magazine #39;s chief editor Bambang Harymurti and called it a setback for the country #39;s press freedom and democracy.,international and domestic observer lambaste on Thursday the guilty verdict against Tempo magazine # 39;s chief editor Bambang Harymurti and call it a setback for the country # 39;s press freedom and democracy .
1,Show lights up Paralympics,"The XII Paralympics begins in Athens, after a spectacular opening ceremony.","the XII Paralympics begin in Athens , after a spectacular opening ceremony ."
1,Burundi: Hold Rebels Responsible for Attack,"A Burundian rebel movement was responsible for the August 13 slaughter of more than 150 civilians at Gatumba refugee camp in Burundi, and not the combined forces of Hutu and Mai-Mai fighters who have been blamed for the attack, Human Rights Watch said in ","a burundian rebel movement be responsible for the August 13 slaughter of more than 150 civilian at Gatumba refugee camp in Burundi , and not the combine force of Hutu and Mai - Mai fighter who have be blame for the attack , Human Rights Watch say in"
4,ATI Shares Resources with HyperMemory,"Graphics chipmaker ATI (Quote, Chart) unveiled a new technology it said lets its visual chips share system memory for graphics processing.","graphic chipmaker ATI ( Quote , Chart ) unveil a new technology it say let its visual chip share system memory for graphic processing ."
1,UN #39;s Kofe Annan Calls Iraq War Illegal,United Nations Secretary General Kofi Annan said this week that the US war in Iraq is illegal and questioned whether the country could hold credible ,United Nations Secretary General Kofi Annan say this week that the US war in Iraq be illegal and question whether the country could hold credible
1,US jets hammer Iraqi insurgents as deadly bombings rock Baghdad,BAGHDAD : At least six people were killed in two suicide car bombings in Baghdad while another 47 people died in a series of US air strikes around the Iraqi insurgent bastion of Fallujah.,BAGHDAD : at least six people be kill in two suicide car bombing in Baghdad while another 47 people die in a series of US air strike around the iraqi insurgent bastion of Fallujah .
1,Sudan Accuses U.S. Over Darfur Talks Breakdown," ABUJA (Reuters) - Sudan blamed the United States for the  failure of three weeks of peace talks between Khartoum and  Darfur rebels on Friday, but African Union mediators said  negotiations would resume in October.","  ABUJA ( Reuters ) - Sudan blame the United States for the   failure of three week of peace talk between Khartoum and   Darfur rebel on Friday , but African Union mediator say   negotiation would resume in October ."
2,Campbell targets City date for Arsenal return,Sol Campbell is expected to play for Arsenal #39;s reserves on Monday and could be back in the first team for next weekend #39;s visit to Manchester City.,Sol Campbell be expect to play for Arsenal # 39;s reserve on Monday and could be back in the first team for next weekend # 39;s visit to Manchester City .
4,Open-source spat triggers legal threat,"Company says it paid for the code that was contributed, against contract, to free Mambo publishing software.","Company say it pay for the code that be contribute , against contract , to free Mambo publishing software ."
4,Virus-Free Macs," #147;The single most effective way to avoid viruses and spyware is to simply chuck Windows altogether and buy an Apple Macintosh, #148; writes Walt Mossberg in the Wall Street Journal.  #147;There has never been a successful virus written for Mac OS X, and there is almost no spyware that targets the Mac. Plus, the Mac is invulnerable to viruses and spyware written for Windows. Not only is it more secure, but the Mac operating system is more capable, more modern and more attractive than Windows XP, and just as stable. #148; Sep 17","  # 147;the single most effective way to avoid virus and spyware be to simply chuck Windows altogether and buy an Apple Macintosh , # 148 ; write Walt Mossberg in the Wall Street Journal .   # 147;there have never be a successful virus write for Mac os x , and there be almost no spyware that target the Mac . Plus , the Mac be invulnerable to virus and spyware write for Windows . not only be it more secure , but the Mac operating system be more capable , more modern and more attractive than Windows XP , and just as stable . # 148 ; Sep 17"
2,Olympics: Athens opens Paralympics with ceremonial extravaganza,"ATHENS : Some 70,000 spectators filled the Athens Olympic stadium to watch the densely choreographed and emotionally-charged opening ceremony of the 12th Paralympics, the world #39;s premier competition for disabled athletes.","athens : some 70,000 spectator fill the Athens olympic stadium to watch the densely choreographed and emotionally - charge opening ceremony of the 12th Paralympics , the world # 39;s premier competition for disabled athlete ."
4,"Labels, Microsoft in talks on CD copying","Record labels and Microsoft are in discussions about ways that the next generation of the Windows operating system, code-named Longhorn, can support copy-protected CD technology.","record label and Microsoft be in discussion about way that the next generation of the Windows operating system , code - name Longhorn , can support copy - protect cd technology ."
1,What they said about ... ... Cherie Blair,"Cherie Blair cast aside her treasured privacy this week, touring newspapers offices and television studios to promote The Goldfish Bowl, her new book, which focuses on Downing Street spouses.","Cherie Blair cast aside her treasured privacy this week , tour newspaper office and television studio to promote the Goldfish Bowl , her new book , which focus on Downing Street spouse ."
4,FTC Endorses Bounty for Spammers,The US Federal Trade Commission has given its endorsement to a plan that would reward insiders for information leading to the arrest and conviction of people or companies that produce spam.,the US Federal Trade Commission have give its endorsement to a plan that would reward insider for information lead to the arrest and conviction of people or company that produce spam .
3,After Being Bounced Around Florida Is Bouncing Back,"Although the three hurricanes that have hit Florida led to a broad economic slowdown, the glimmerings of a miniboom are already apparent.","although the three hurricane that have hit Florida lead to a broad economic slowdown , the glimmering of a miniboom be already apparent ."
4,Enter your e-mail:,"If you can #39;t beat Google, make it better--that seems to be the lesson of A9.com, Amazon #39;s intriguing new search site. For Web searches, A9 simply gives you Google #39;s results, but it does a lot more--for instance ","if you can # 39;t beat Google , make it well -- that seem to be the lesson of A9.com , Amazon # 39;s intrigue new search site . for web search , A9 simply give you Google # 39;s result , but it do a lot more -- for instance"
3,MCI Creditors Are Target Of  SEC Subpoenas,"11 members of MCI Inc.'s former creditors committee asked for documents related to confidential communications between the company and its bondholders, according to federal bankruptcy court filings.","11 member of MCI Inc. 's former creditor committee ask for document relate to confidential communication between the company and its bondholder , accord to federal bankruptcy court filing ."
2,"Crystal Palace 0, Charlton Athletic 1",Charlton manager Alan Curbishley believes Dennis Rommedahl #39;s sparkling winner will provide the platform for the Dane to recapture the form that made him one of Europe #39;s most feared wingers.,Charlton manager Alan Curbishley believe Dennis Rommedahl # 39;s sparkle winner will provide the platform for the Dane to recapture the form that make he one of Europe # 39;s most fear winger .
3,Consumers #39; view of economy unchanged,"NEW YORK - Consumers #39; assessment of the economy held largely steady this month, according to a university research report released Friday.","NEW YORK - Consumers # 39 ; assessment of the economy hold largely steady this month , accord to a university research report release Friday ."
1,"Five killed in suicide car bombing, three taken hostage in Iraq","Violence raged on in Iraq on Friday, with five Iraqis killed in a suicide car bombing in Baghdad and three more Turkish drivers reportedly kidnapped.","violence rage on in Iraq on Friday , with five Iraqis kill in a suicide car bombing in Baghdad and three more turkish driver reportedly kidnap ."
3,US Airways Said to Plan to Ask Court for Pay Cuts,"S Airways plans to ask a federal bankruptcy judge on Oct. 7 to impose temporary pay cuts on its workers unless it can reach agreement with its unions before then, people who have been briefed on the company #39;s strategy said yesterday.","S Airways plan to ask a federal bankruptcy judge on Oct. 7 to impose temporary pay cut on its worker unless it can reach agreement with its union before then , people who have be brief on the company # 39;s strategy say yesterday ."
4,IPod Rivals Square Off Against Apple,"A new generation of smaller, sleeker and cheaper MP3 players from the likes of Sony, Rio, Creative and Rave MP are hitting the market this fall, and they all have Apple Computer #39;s white-hot digital music player in their sights.","a new generation of small , sleeker and cheap mp3 player from the like of Sony , Rio , Creative and Rave MP be hit the market this fall , and they all have Apple Computer # 39;s white - hot digital music player in their sight ."
3,PeopleSoft sweetens employee compensation,Business software maker PeopleSoft Friday said it was boosting compensation packages for all employees except its chief executive in a move that would raise the ,business software maker PeopleSoft Friday say it be boost compensation package for all employee except its chief executive in a move that would raise the
1,Panama flooding kills nine people,At least nine people - seven of them children - have died in flooding in the capital of Panama. The authorities say at least 13 people are still missing after heavy rainfall caused rivers to break their banks.,at least nine people - seven of they child - have die in flooding in the capital of Panama . the authority say at least 13 people be still miss after heavy rainfall cause river to break their bank .
2,Pierce longs for old days,"Rusty Pierce has received lessons in pragmatism since joining the Revolution four years ago. Pierce has performed for teams that have inevitably turned to a direct, linear game, with little emphasis on creativity or imagination. The style paid off the last two seasons, but the Revolution might have overly relied on direct play in spending most of this ...","Rusty Pierce have receive lesson in pragmatism since join the Revolution four year ago . Pierce have perform for team that have inevitably turn to a direct , linear game , with little emphasis on creativity or imagination . the style pay off the last two season , but the Revolution might have overly rely on direct play in spend most of this ..."
2,Charlestown opens up in OT,"Thunder and lightning loomed all day, but never clapped or struck on West Roxbury turf. Charlestown, however, was the more destructive force, pulling out a 22-18 overtime win over the Raiders in a Boston North contest.","thunder and lightning loom all day , but never clap or strike on West Roxbury turf . Charlestown , however , be the more destructive force , pull out a 22 - 18 overtime win over the Raiders in a Boston North contest ."
2,"** For the latest news, please refresh this page regularly **",What #39;s up? I see the whole world has their eyes on the Oscar vs. Bernard fight. My thought is Oscar is coming off with an upset.,what # 39;s up ? I see the whole world have their eye on the Oscar vs. Bernard fight . my thought be Oscar be come off with an upset .
2,"Subaru World Rally Team - Rally GB, Leg 1 Report",Petter Solberg demonstrated his winning potential aboard his Subaru Impreza WRC2004 today to take three stage wins and end Leg one in second position overall.,Petter Solberg demonstrate his win potential aboard his Subaru Impreza WRC2004 today to take three stage win and end Leg one in second position overall .
2,Mini World Cup heats up,"With the four minnows out of contention, the eight title contenders chase semifinal places in One-Day crickets mini World Cup with Australia first to get there by beating New Zealand by seven wickets yesterday in the first group showdown at the ","with the four minnow out of contention , the eight title contender chase semifinal place in one - day cricket mini World Cup with Australia first to get there by beat New Zealand by seven wicket yesterday in the first group showdown at the"
1,Iraqi Airways resumes international flights after 14 years,"Iraqi Airways resumed international flights Saturday when a plane took off from neighboring Jordan, the airline #39;s first such flight since UN sanctions were imposed on Saddam Hussein in 1990.","Iraqi Airways resume international flight Saturday when a plane take off from neighbor Jordan , the airline # 39;s first such flight since UN sanction be impose on Saddam Hussein in 1990 ."
3,"Thanks for the Pageviews, Ivan",Bad weather has been very good for business at Weather.com and other popular forecasting sites. They are posting record traffic in the wake of Hurricane Ivan's arrival on the mainland. By Joanna Glasner.,bad weather have be very good for business at weather.com and other popular forecasting site . they be post record traffic in the wake of Hurricane Ivan 's arrival on the mainland . by Joanna Glasner .
4,Apple offers 2004 financial details,"Apple's latest Form 10-K filing with the Securities and Exchange Commission offers a look at how the company did this past year, how it thinks it's doing and what's to come.","Apple 's late Form 10 - k filing with the Securities and Exchange Commission offer a look at how the company do this past year , how it think it be do and what be to come ."
4,Linux puts another financial feather in its cap,"Industry observers say Linux's similarity to Unix, its lower cost and ability to run on Intel hardware make the Unix market ripe for open-source conquest.","industry observer say Linux 's similarity to Unix , its low cost and ability to run on Intel hardware make the Unix market ripe for open - source conquest ."
2,Jaguar Exit Throws F1 Deeper Into Turmoil," LONDON (Reuters) - Formula One, already struggling to shape  its future and put on a show, is staring into the abyss after  Ford's decision to pull out and sell its Jaguar team.","  LONDON ( Reuters ) - Formula one , already struggle to shape   its future and put on a show , be stare into the abyss after   Ford 's decision to pull out and sell its Jaguar team ."
4,Security firm eyes Sasser teen,"Berlin - A German teenager accused of creating the Sasser worm that infected millions of computers around the world is being taught to become a security software programmer, the company that hired him said on Friday.","Berlin - a german teenager accuse of create the Sasser worm that infect million of computer around the world be be teach to become a security software programmer , the company that hire he say on Friday ."
3,Coke to Pay New CEO Same as Predecessor,"Coca-Cola Co. (KO.N: Quote, Profile, Research) , which warned earlier this week of lower-than-expected profits this year, said on Friday it will pay Chairman and Chief Executive Neville Isdell \$1.","Coca - Cola Co. ( ko.n : Quote , Profile , Research ) , which warn early this week of low - than - expect profit this year , say on Friday it will pay Chairman and Chief Executive Neville Isdell \$1 ."
1,Florida Supreme Court puts Nader on state ballot (AFP),"AFP - The Florida Supreme Court has ruled that third-party presidential hopeful Ralph Nader can appear on ballots in the decisive state, increasing the chance the maverick contender will again influence the outcome of the presidential election.","AFP - the Florida Supreme Court have rule that third - party presidential hopeful Ralph Nader can appear on ballot in the decisive state , increase the chance the maverick contender will again influence the outcome of the presidential election ."
1,Leader Says Rebels Responsible for Siege,"MOSCOW Sept. 17, 2004 - Chechen rebel leader Shamil Basayev purportedly took responsibility Friday for a bloody school siege and other recent terrorist attacks that have killed more than 430 people, but ","MOSCOW Sept. 17 , 2004 - Chechen rebel leader Shamil Basayev purportedly take responsibility Friday for a bloody school siege and other recent terrorist attack that have kill more than 430 people , but"
1,Russia: the losing battle against terrorism and insurgency,Terrorism in Russia took on horrifying proportions in August and early September when more than 400 people were killed in four separate incidents in a span of less than two weeks.,terrorism in Russia take on horrify proportion in August and early September when more than 400 people be kill in four separate incident in a span of less than two week .
1,Bush Seen Vulnerable to Kerry Among Independent Voters (Reuters),"Reuters - President Bush, who holds\a sizable lead in some polls, still appears to be vulnerable to\Democrat John Kerry among independent voters whose shifting\loyalties could determine the winner of the November election,\pollsters say.","Reuters - President Bush , who holds\a sizable lead in some poll , still appear to be vulnerable to\Democrat John Kerry among independent voter whose shifting\loyaltie could determine the winner of the November election,\pollster say ."
1,Macaulay Culkin Released After Drug Arrest,"OKLAHOMA CITY - Former child star Macaulay Culkin was arrested on drug charges Friday during a traffic stop, authorities said. The 24-year-old actor, best known for his role in the ""Home Alone"" movies, was taken into custody on complaints of possession of a controlled dangerous substance without a valid prescription and possession of marijuana, according to the Oklahoma County Sheriff's office...","OKLAHOMA CITY - former child star Macaulay Culkin be arrest on drug charge Friday during a traffic stop , authority say . the 24 - year - old actor , well know for his role in the "" home alone "" movie , be take into custody on complaint of possession of a control dangerous substance without a valid prescription and possession of marijuana , accord to the Oklahoma County Sheriff 's office ..."
1,Iran Is Criticized for Its Lack of Candor on Nuclear Program,The International Atomic Energy's 35-nation board of governors passed a resolution calling for the country to suspend all uranium enrichment activities that could contribute to producing fuel for a nuclear bomb.,the International Atomic Energy 's 35 - nation board of governor pass a resolution call for the country to suspend all uranium enrichment activity that could contribute to produce fuel for a nuclear bomb .
3,"Florida, Alabama pick up the pieces after Ivan",People in Florida and Alabama have started to clean up after hurricane Ivan - the third such pummelling for Florida alone in just five weeks.,People in Florida and Alabama have start to clean up after hurricane Ivan - the third such pummelling for Florida alone in just five week .
2,Colts' Tough Schedule Continues With Tenn. (AP),"AP - Talk about testing a defense: The Indianapolis Colts opened the season against Tom Brady, face Steve McNair this week and then Brett Favre. They're lucky Peyton Manning plays for their side.","AP - Talk about test a defense : the Indianapolis Colts open the season against Tom Brady , face Steve McNair this week and then Brett Favre . they be lucky Peyton Manning play for their side ."
2,Loeb extends lead over Solberg,CARDIFF -- Championship leader Sebastien Loeb took two stage wins to boost his lead over Norwegian Petter Solberg as the Rally of Britain entered its second leg on Saturday.,CARDIFF -- championship leader Sebastien Loeb take two stage win to boost his lead over norwegian Petter Solberg as the Rally of Britain enter its second leg on Saturday .
1,Pakistan tightens noose around Al-Qaeda militants near Afghan border: army (AFP),"AFP - Pakistani troops have hemmed in Al-Qaeda-linked foreign fighters and their local allies hiding in tribal border regions with a series of military assaults, a top Pakistani general said.","AFP - pakistani troop have hem in Al - Qaeda - link foreign fighter and their local ally hide in tribal border region with a series of military assault , a top pakistani general say ."
1,UN Council Poised to Vote on Darfur Resolution, UNITED NATIONS (Reuters) - The United States and China held  last-minute talks on Saturday before the U.N. Security Council  was to vote on a resolution that would consider oil sanctions  against Sudan if it did not stop atrocities in the Darfur  region.,  UNITED NATIONS ( Reuters ) - the United States and China hold   last - minute talk on Saturday before the U.N. Security Council   be to vote on a resolution that would consider oil sanction   against Sudan if it do not stop atrocity in the Darfur   region .
1,Turkish Parliament Fails to Pass Reforms (AP),"AP - Turkey's parliament adjourned Saturday without passing a key reform package because of divisions over the government's proposal to make adultery a crime, bringing warnings from the European Union that delays could hurt Turkey's chances of membership.","AP - Turkey 's parliament adjourn Saturday without pass a key reform package because of division over the government 's proposal to make adultery a crime , bring warning from the European Union that delay could hurt Turkey 's chance of membership ."
2,U.S. Forced to Battle for Ryder Cup Survival," BLOOMFIELD HILLS, Michigan (Reuters) - The U.S. Ryder Cup  team, wounded after a first day mauling, were facing a fight  for survival on Saturday.","  BLOOMFIELD HILLS , Michigan ( Reuters ) - the U.S. Ryder Cup   team , wound after a first day mauling , be face a fight   for survival on Saturday ."
1,Britain doing  quot;all we can quot; for hostage in Iraq,Prime Minister Tony Blair has his government is doing all in its power to help a kidnapped Briton -- but he has avoided a public response to insurgents threatening to kill the man.,Prime Minister Tony Blair have his government be do all in its power to help a kidnapped Briton -- but he have avoid a public response to insurgent threaten to kill the man .
4,Barbarians at the Digital Gate,"How spyware, a program that creeps onto a computers hard drive unannounced, is wrecking the Internet.","how spyware , a program that creep onto a computer hard drive unannounced , be wreck the internet ."
2,Murphy Acquitted of Sexual Abuse Charges,"Basketball Hall of Fame member Calvin Murphy, left, sits in a courtroom as he waits for the start of closing arguments in his trial Monday, Dec. 6, 2004, in Houston.","Basketball Hall of Fame member Calvin Murphy , leave , sit in a courtroom as he wait for the start of closing argument in his trial Monday , Dec. 6 , 2004 , in Houston ."
1,Sudan Says U.N. Sanctions Would Destroy Society," KHARTOUM (Reuters) - Sudan said Saturday that U.N.  sanctions, threatened over atrocities in the Darfur region,  would lead ""this society to a complete destruction.""","  KHARTOUM ( Reuters ) - Sudan say Saturday that U.N.   sanction , threaten over atrocity in the Darfur region ,   would lead "" this society to a complete destruction . """
1,Ryder Cup: Europe close on victory,Another good day at Oakland Hills sees Europe move 11-5 clear of the USA going into Sunday's Ryder Cup singles.,another good day at Oakland Hills see Europe move 11 - 5 clear of the USA go into Sunday 's Ryder Cup single .
